Condition,Session,Generation,Story,Parts,ID
Pair,P1,1,1,4,1
Pair,P1,2,2,6,1
Pair,P1,3,2,7,1
Pair,P1,4,2,4,1
Pair,P1,5,2,5,1
Pair,P1,6,1,5,1
Pair,P2,1,4,4,1
Pair,P2,2,2,2,1
Pair,P2,3,4,10,1
Pair,P2,4,3,9,1
Pair,P2,5,2,4,1
Pair,P2,6,2,6,1
Pair,P3,1,2,2,1
Pair,P3,2,2,4,1
Pair,P3,3,3,3,1
Pair,P3,4,3,3,1
Pair,P3,5,4,4,1
Pair,P3,6,3,3,1
Pair,P4,1,2,6,1
Pair,P4,2,3,8,1
Pair,P4,3,3,9,1
Pair,P4,4,3,3,1
Pair,P4,6,2,2,1
Pair,P5,1,2,2,1
Pair,P5,2,3,3,1
Pair,P5,3,3,4,1
Pair,P5,4,1,1,1
Pair,P5,5,1,1,1
Pair,P5,6,3,3,1
Pair,P6,2,3,3,1
Pair,P6,3,2,2,1
Pair,P6,4,2,2,1
Pair,P6,5,2,2,1
Pair,P6,6,3,3,1
Pair,P7,1,3,4,1
Pair,P7,2,2,3,1
Pair,P7,4,1,1,1
Pair,P7,5,4,4,1
Pair,P7,6,4,4,1
Pair,P8,1,1,9,1
Pair,P8,2,2,12,1
Pair,P8,3,3,13,1
Pair,P8,4,3,17,1
Pair,P8,5,3,18,1
Pair,P8,6,1,19,1
Pair,P9,1,1,9,1
Pair,P9,2,1,12,1
Pair,P9,3,1,29,1
Pair,P9,4,2,15,1
Pair,P9,5,1,6,1
Pair,P9,6,2,6,1
Pair,P10,1,2,2,1
Pair,P10,2,2,2,1
Pair,P10,3,2,2,1
Pair,P10,4,3,3,1
Pair,P10,5,1,1,1
Pair,P10,6,3,3,1
Pair,PEX,1,2,5,1
Pair,PEX,2,2,6,1
Pair,PEX,3,2,9,1
Pair,PEX,4,1,6,1
Pair,PEX,6,4,4,1
Pair,Y090111,1,1,1,1
Pair,Y090111,2,2,3,1
Pair,Y090111,3,3,5,1
Pair,Y090111,4,1,2,1
Pair,Y090111,5,1,3,1
Pair,Y090111,6,1,2,1
Group,G1,2,2,7,1
Group,G1,3,3,6,1
Group,G1,4,4,6,1
Group,G1,5,2,6,1
Group,G1,6,2,4,1
Group,G2,1,1,5,1
Group,G2,2,2,4,1
Group,G2,3,1,2,1
Group,G2,4,3,3,1
Group,G2,5,3,4,1
Group,G2,6,1,1,1
Group,G3,1,3,3,1
Group,G3,2,2,2,1
Group,G3,3,2,2,1
Group,G3,4,2,2,1
Group,G3,5,4,4,1
Group,G3,6,3,3,1
Group,G4,1,1,10,1
Group,G4,2,2,9,1
Group,G4,3,3,6,1
Group,G4,4,2,2,1
Group,G4,6,3,5,1
Group,G5,1,1,1,1
Group,G5,2,2,2,1
Group,G5,4,2,2,1
Group,G5,5,3,3,1
Group,G5,6,3,3,1
Group,G6,1,2,4,1
Group,G6,2,2,4,1
Group,G6,3,2,5,1
Group,G6,4,2,5,1
Group,G6,5,3,4,1
Group,G6,6,3,4,1
Group,G7,2,2,4,1
Group,G7,3,2,6,1
Group,G7,4,3,3,1
Group,G7,5,2,2,1
Group,G7,6,2,3,1
Pair,P1,1,1,4,2
Pair,P1,2,2,5,2
Pair,P1,3,2,6,2
Pair,P1,4,2,4,2
Pair,P1,5,2,5,2
Pair,P1,6,1,5,2
Pair,P2,1,4,6,2
Pair,P2,2,2,3,2
Pair,P2,3,4,9,2
Pair,P2,4,3,9,2
Pair,P2,5,2,4,2
Pair,P2,6,2,2,2
Pair,P3,1,2,2,2
Pair,P3,2,2,2,2
Pair,P3,3,3,3,2
Pair,P3,4,3,3,2
Pair,P3,5,4,4,2
Pair,P3,6,3,3,2
Pair,P4,1,2,6,2
Pair,P4,2,3,8,2
Pair,P4,3,3,9,2
Pair,P4,4,3,3,2
Pair,P4,6,2,2,2
Pair,P5,1,2,2,2
Pair,P5,2,3,3,2
Pair,P5,3,3,3,2
Pair,P5,4,1,1,2
Pair,P5,5,1,1,2
Pair,P5,6,3,3,2
Pair,P6,2,3,3,2
Pair,P6,3,2,2,2
Pair,P6,4,2,6,2
Pair,P6,5,2,2,2
Pair,P6,6,3,3,2
Pair,P7,1,3,4,2
Pair,P7,2,2,3,2
Pair,P7,4,1,1,2
Pair,P7,5,4,4,2
Pair,P7,6,4,4,2
Pair,P8,1,1,10,2
Pair,P8,2,2,4,2
Pair,P8,3,3,13,2
Pair,P8,4,3,17,2
Pair,P8,5,3,18,2
Pair,P8,6,1,19,2
Pair,P9,1,1,9,2
Pair,P9,2,1,13,2
Pair,P9,3,1,20,2
Pair,P9,4,2,15,2
Pair,P9,5,1,6,2
Pair,P9,6,2,7,2
Pair,P10,1,2,2,2
Pair,P10,2,2,2,2
Pair,P10,3,2,2,2
Pair,P10,4,3,3,2
Pair,P10,5,1,1,2
Pair,P10,6,3,3,2
Pair,PEX,1,2,5,2
Pair,PEX,2,2,6,2
Pair,PEX,3,2,9,2
Pair,PEX,4,1,6,2
Pair,PEX,6,4,4,2
Pair,Y090111,1,1,1,2
Pair,Y090111,2,2,3,2
Pair,Y090111,3,3,5,2
Pair,Y090111,4,1,2,2
Pair,Y090111,5,1,3,2
Pair,Y090111,6,1,2,2
Group,G1,2,2,8,2
Group,G1,3,3,6,2
Group,G1,4,4,8,2
Group,G1,5,2,6,2
Group,G1,6,2,7,2
Group,G2,1,1,5,2
Group,G2,2,2,5,2
Group,G2,3,1,2,2
Group,G2,4,3,3,2
Group,G2,5,3,4,2
Group,G2,6,1,1,2
Group,G3,1,3,3,2
Group,G3,2,2,1,2
Group,G3,3,2,2,2
Group,G3,4,2,2,2
Group,G3,5,4,3,2
Group,G3,6,3,3,2
Group,G4,1,1,10,2
Group,G4,2,2,9,2
Group,G4,3,3,6,2
Group,G4,4,2,2,2
Group,G4,6,3,5,2
Group,G5,1,1,1,2
Group,G5,2,2,2,2
Group,G5,4,2,2,2
Group,G5,5,3,3,2
Group,G5,6,3,3,2
Group,G6,1,2,4,2
Group,G6,2,2,4,2
Group,G6,3,2,5,2
Group,G6,4,2,6,2
Group,G6,5,3,5,2
Group,G6,6,3,3,2
Group,G7,2,2,4,2
Group,G7,3,2,6,2
Group,G7,4,3,3,2
Group,G7,5,2,2,2
Group,G7,6,2,3,2